,TRAN DATE,PAYSLIP,CHEQUE,AMOUNT
116,2018-03-15,5550.0,10.0,567800.0
117,2018-03-16,5550.0,94822.0,917.0
118,2018-03-16,5550.0,36511.0,2586.0
119,2018-03-16,5550.0,973905.0,5873.0
120,2018-03-16,5550.0,645734.0,6944.0
121,2018-03-16,5550.0,13.0,7079.0
122,2018-03-16,5550.0,34107.0,7574.0
123,2018-03-16,5550.0,14.0,11562.0
124,2018-03-16,5550.0,182814.0,14436.0
125,2018-03-16,5550.0,647365.0,20083.0
126,2018-03-16,5550.0,9626.0,30007.0
127,2018-03-16,5550.0,157.0,34517.0
128,2018-03-16,5550.0,582073.0,46271.0
129,2018-03-16,5551.0,399534.0,46900.0
130,2018-03-16,5551.0,840479.0,2264.0
131,2018-03-16,5551.0,715566.0,5156.0
132,2018-03-16,5551.0,162380.0,6085.0
133,2018-03-16,5551.0,697196.0,6427.0
134,2018-03-16,5551.0,337624.0,7518.0
135,2018-03-16,5551.0,2534.0,7629.0
136,2018-03-16,5551.0,722694.0,8929.0
137,2018-03-16,5551.0,845472.0,8980.0
138,2018-03-16,5551.0,231235.0,19193.0
139,2018-03-16,5552.0,246316.0,37661.0
140,2018-03-16,5552.0,288265.0,981.0
141,2018-03-16,5552.0,476630.0,1337.0
142,2018-03-16,5552.0,182815.0,3027.0
143,2018-03-16,5552.0,139261.0,4005.0
144,2018-03-16,5552.0,884762.0,5108.0
145,2018-03-16,5552.0,719831.0,6392.0
146,2018-03-16,5552.0,560640.0,8923.0
147,2018-03-16,5552.0,479089.0,15967.0
148,2018-03-16,5552.0,479088.0,36186.0
149,2018-03-16,5552.0,397198.0,37055.0
150,2018-03-16,5552.0,93187.0,56679.0
151,2018-03-16,5554.0,1.0,83315.0
152,2018-03-16,5554.0,295723.0,5486.0
153,2018-03-16,5554.0,9399.0,5771.0
154,2018-03-16,5554.0,648023.0,6064.0
155,2018-03-16,5555.0,9171188.0,7432.0
156,2018-03-16,5555.0,463267.0,1702.0
157,2018-03-16,5555.0,967542.0,7193.0
158,2018-03-16,5555.0,862268.0,7221.0
159,2018-03-16,5555.0,533265.0,12435.0
160,2018-03-16,5555.0,516851.0,12806.0
161,2018-03-16,5555.0,361727.0,14078.0
162,2018-03-16,5555.0,553572.0,21570.0
163,2018-03-16,5555.0,62603.0,22177.0
164,2018-03-16,5555.0,305003.0,22617.0
165,2018-03-16,5555.0,456344.0,23639.0
166,2018-03-16,5556.0,983816.0,30401.0
167,2018-03-16,5557.0,39688.0,5218.0
168,2018-03-16,5557.0,11629.0,1647.0
169,2018-03-16,5557.0,484255.0,6585.0
170,2018-03-16,5557.0,484256.0,6585.0
171,2018-03-16,5557.0,117396.0,7838.0
172,2018-03-16,5557.0,126627.0,10833.0
173,2018-03-16,5557.0,796191.0,15072.0
174,2018-03-16,5557.0,250408.0,24413.0
175,2018-03-16,5558.0,875420.0,750000.0
176,2018-03-16,5585.0,0.0,2102250.0
177,2018-03-17,5585.0,36628.0,3556.0
178,2018-03-17,5585.0,30098.0,3600.0
179,2018-03-17,5585.0,39342.0,3600.0
180,2018-03-17,5585.0,18785.0,29941.0
181,2018-03-17,5586.0,2254.0,45503.0
182,2018-03-17,5586.0,457040.0,1681.0
183,2018-03-17,5586.0,693780.0,1696.0
184,2018-03-17,5586.0,498686.0,11330.0
185,2018-03-17,5586.0,45.0,11643.0
186,2018-03-17,5586.0,479628.0,15154.0
187,2018-03-17,5587.0,349.0,16505.0
188,2018-03-17,5587.0,871072.0,2068.0
189,2018-03-17,5587.0,833238.0,7920.0
190,2018-03-17,5587.0,732162.0,13143.0
191,2018-03-17,5587.0,36485.0,16628.0
192,2018-03-17,5587.0,448330.0,21446.0
193,2018-03-17,5587.0,373514.0,22643.0
194,2018-03-17,5587.0,48538.0,24461.0
195,2018-03-17,5587.0,55180.0,24797.0
196,2018-03-17,5587.0,55181.0,28968.0
197,2018-03-17,5587.0,533266.0,42820.0
198,2018-03-17,5587.0,983815.0,58265.0
199,2018-03-17,5588.0,864629.0,60050.0
200,2018-03-17,5588.0,460080.0,2787.0
201,2018-03-17,5588.0,17109.0,4321.0
202,2018-03-17,5588.0,747376.0,12429.0
203,2018-03-17,5588.0,56323.0,12510.0
204,2018-03-17,5588.0,52610.0,13125.0
205,2018-03-17,5588.0,32311.0,15554.0
206,2018-03-17,5588.0,517061.0,17104.0
207,2018-03-17,5588.0,716185.0,17174.0
208,2018-03-17,5588.0,291484.0,29594.0
209,2018-03-17,5589.0,339445.0,31728.0
210,2018-03-17,5589.0,206692.0,1055.0
211,2018-03-17,5589.0,1607881.0,2300.0
212,2018-03-17,5589.0,16.0,3474.0
213,2018-03-17,5589.0,160882.0,3523.0
214,2018-03-17,5589.0,399.0,7687.0
215,2018-03-17,5589.0,79486.0,8783.0
216,2018-03-17,5589.0,20.0,8958.0
217,2018-03-17,5589.0,33.0,11991.0
218,2018-03-17,5589.0,316519.0,12425.0
219,2018-03-17,5589.0,45310.0,13414.0
220,2018-03-17,5589.0,30.0,31912.0
221,2018-03-17,5589.0,449016.0,44602.0
222,2018-03-17,5590.0,449015.0,48366.0
223,2018-03-17,5590.0,650335.0,4399.0
224,2018-03-17,5590.0,650333.0,4563.0
225,2018-03-17,5590.0,524206.0,5090.0
226,2018-03-17,5590.0,243436.0,5404.0
227,2018-03-17,5590.0,243433.0,5493.0
228,2018-03-17,5590.0,488575.0,5512.0
229,2018-03-17,5590.0,9966.0,10888.0
230,2018-03-17,5590.0,488573.0,11788.0
231,2018-03-17,5590.0,488574.0,14524.0
232,2018-03-17,5590.0,988751.0,18569.0
233,2018-03-17,5590.0,243435.0,18816.0
234,2018-03-17,5590.0,260288.0,29044.0
235,2018-03-17,5591.0,882751.0,30605.0
236,2018-03-17,5591.0,212601.0,594.0
237,2018-03-17,5591.0,212602.0,3150.0
238,2018-03-17,5591.0,37356.0,3517.0
239,2018-03-17,5591.0,408454.0,6562.0
240,2018-03-17,5591.0,846577.0,8700.0
241,2018-03-17,5591.0,237616.0,10306.0
242,2018-03-17,5591.0,747696.0,10803.0
243,2018-03-17,5591.0,806773.0,12425.0
244,2018-03-17,5591.0,58288.0,24292.0
245,2018-03-17,5592.0,290617.0,33416.0
246,2018-03-17,5593.0,2.0,12963.0
247,2018-03-17,5621.0,0.0,1245814.0
248,2018-03-19,5621.0,356983.0,7624.0
249,2018-03-19,5621.0,120336.0,11751.0
250,2018-03-19,5621.0,263656.0,20861.0
251,2018-03-19,5622.0,61452.0,29364.0
252,2018-03-19,5623.0,33062.0,16287.0
253,2018-03-19,5623.0,920322.0,1762.0
254,2018-03-19,5623.0,919362.0,4201.0
255,2018-03-19,5623.0,221362.0,4245.0
256,2018-03-19,5623.0,488576.0,8624.0
257,2018-03-19,5623.0,26683.0,10785.0
258,2018-03-19,5623.0,488577.0,14596.0
259,2018-03-19,5623.0,740132.0,15051.0
260,2018-03-19,5623.0,332014.0,16340.0
261,2018-03-19,5623.0,488578.0,19305.0
262,2018-03-19,5623.0,294379.0,27768.0
263,2018-03-19,5624.0,982399.0,39975.0
264,2018-03-19,5624.0,477878.0,3164.0
265,2018-03-19,5624.0,152323.0,4258.0
266,2018-03-19,5624.0,6371.0,14214.0
267,2018-03-19,5625.0,585107.0,31051.0
268,2018-03-19,5626.0,558442.0,15737.0
269,2018-03-19,5626.0,465941.0,1784.0
270,2018-03-19,5626.0,99320.0,3041.0
271,2018-03-19,5626.0,232230.0,6583.0
272,2018-03-19,5626.0,228964.0,9200.0
273,2018-03-19,5626.0,753.0,10069.0
274,2018-03-19,5626.0,55453.0,26600.0
275,2018-03-19,5626.0,1779.0,29617.0
276,2018-03-19,5626.0,363980.0,32140.0
277,2018-03-19,5626.0,263715.0,48365.0
278,2018-03-19,5626.0,363979.0,72060.0
279,2018-03-19,5627.0,317957.0,500000.0
280,2018-03-19,5627.0,102469.0,890.0
281,2018-03-19,5627.0,950459.0,3429.0
282,2018-03-19,5627.0,737180.0,3696.0
283,2018-03-19,5627.0,490297.0,4201.0
284,2018-03-19,5627.0,133545.0,10064.0
285,2018-03-19,5627.0,75682.0,13872.0
286,2018-03-19,5627.0,612395.0,24885.0
287,2018-03-19,5627.0,394368.0,31140.0
288,2018-03-19,5628.0,583387.0,64996.0
289,2018-03-19,5628.0,686499.0,1219.0
290,2018-03-19,5628.0,399317.0,6467.0
291,2018-03-19,5628.0,303831.0,6723.0
292,2018-03-19,5629.0,303341.0,23416.0
293,2018-03-19,5630.0,190013.0,8944.0
294,2018-03-19,5631.0,901460.0,23478.0
295,2018-03-19,5631.0,13809.0,1290.0
296,2018-03-19,5631.0,259983.0,1422.0
297,2018-03-19,5631.0,587285.0,6501.0
298,2018-03-19,5631.0,12.0,7614.0
299,2018-03-19,5631.0,758565.0,7803.0
300,2018-03-19,5631.0,3439.0,8181.0
301,2018-03-19,5631.0,463967.0,12122.0
302,2018-03-19,5631.0,463966.0,15108.0
303,2018-03-19,5631.0,178377.0,15657.0
304,2018-03-19,5631.0,8045.0,24604.0
305,2018-03-19,5631.0,435208.0,30694.41
306,2018-03-19,5632.0,446889.0,44478.0
307,2018-03-19,5632.0,726591.0,3090.0
308,2018-03-19,5632.0,263511.0,4404.0
309,2018-03-19,5632.0,29904.0,5116.0
310,2018-03-19,5632.0,294592.0,6765.0
311,2018-03-19,5632.0,294593.0,6931.0
312,2018-03-19,5632.0,10040.0,10146.0
313,2018-03-19,5632.0,66.0,14556.0
314,2018-03-19,5632.0,122382.0,15866.0
315,2018-03-19,5632.0,165830.0,34952.0
316,2018-03-19,5632.0,6.0,36060.0
317,2018-03-19,5632.0,858588.0,42819.0
318,2018-03-19,5633.0,865370.0,79323.0
319,2018-03-19,5633.0,345977.0,594.0
320,2018-03-19,5633.0,715739.0,3474.0
321,2018-03-19,5633.0,344263.0,4779.0
322,2018-03-19,5633.0,33.0,5150.0
323,2018-03-19,5633.0,23801.0,7097.0
324,2018-03-19,5633.0,192655.0,7328.0
325,2018-03-19,5633.0,298369.0,7828.0
326,2018-03-19,5633.0,81557.0,11151.0
327,2018-03-19,5633.0,751396.0,5219.0
328,2018-03-19,5633.0,847008.0,6012.0
329,2018-03-19,5634.0,3795.0,2802.0
330,2018-03-19,5634.0,22243.0,66668.0
331,2018-03-19,5634.0,22244.0,31090.0
332,2018-03-19,5634.0,102207.0,7169.0
333,2018-03-19,5634.0,102208.0,3729.0
334,2018-03-19,5634.0,241196.0,21055.0
335,2018-03-19,5634.0,245701.0,8833.0
336,2018-03-19,5634.0,373705.0,8906.0
337,2018-03-19,5634.0,538527.0,12334.0
338,2018-03-19,5634.0,548716.0,31223.0
339,2018-03-19,5634.0,627325.0,6791.0
340,2018-03-19,5636.0,833611.0,594.0
341,2018-03-19,5650.0,0.0,2765736.0
342,2018-03-20,5650.0,3.0,8711.0
343,2018-03-20,5650.0,4.0,6406.0
344,2018-03-20,5650.0,22.0,26352.0
345,2018-03-20,5650.0,58278.0,6893.0
346,2018-03-20,5650.0,79220.0,32289.0
347,2018-03-20,5650.0,127354.0,18276.0
348,2018-03-20,5650.0,476926.0,63384.0
349,2018-03-20,5650.0,670154.0,40466.0
350,2018-03-20,5650.0,672429.0,35135.0
351,2018-03-20,5650.0,784456.0,1248.0
352,2018-03-20,5650.0,952056.0,7626.0
353,2018-03-20,5651.0,48226.0,10004.0
354,2018-03-20,5651.0,208536.0,1551.0
355,2018-03-20,5651.0,379392.0,28971.0
356,2018-03-20,5651.0,379393.0,15988.0
357,2018-03-20,5651.0,379394.0,15728.0
358,2018-03-20,5651.0,379396.0,13752.0
359,2018-03-20,5651.0,379397.0,12913.0
360,2018-03-20,5651.0,426788.0,4099.0
361,2018-03-20,5651.0,482887.0,27564.0
362,2018-03-20,5651.0,579421.0,60050.0
363,2018-03-20,5652.0,662870.0,17950.0
364,2018-03-20,5652.0,104109.0,14035.0
365,2018-03-20,5653.0,978414.0,20671.0
366,2018-03-20,5653.0,11.0,4879.0
367,2018-03-20,5653.0,32.0,5754.0
368,2018-03-20,5653.0,5816.0,14425.0
369,2018-03-20,5653.0,26003.0,516.0
370,2018-03-20,5653.0,147078.0,20671.0
371,2018-03-20,5653.0,168019.0,29617.0
372,2018-03-20,5653.0,256263.0,410.0
373,2018-03-20,5653.0,271287.0,7046.0
374,2018-03-20,5653.0,389043.0,76937.0
375,2018-03-20,5653.0,488685.0,2683.0
376,2018-03-20,5653.0,580959.0,6772.0
377,2018-03-20,5653.0,846445.0,10788.0
378,2018-03-20,5654.0,9320.0,11424.0
379,2018-03-20,5654.0,9873.0,32213.0
380,2018-03-20,5654.0,41409.0,3776.0
381,2018-03-20,5654.0,211636.0,3374.0
382,2018-03-20,5654.0,245328.0,2656.0
383,2018-03-20,5654.0,251573.0,18927.0
