"TRAN DATE","CHQ NO","amount"
25-02-2011,760134,1153.00
25-02-2011,760357,1153.00
28-02-2011,335807,5099.00
02-03-2011,8561,250.00
03-05-2011,44329,1795.00
03-05-2011,735266,3039.00
20-06-2011,94647,822.00
28-06-2011,12705,3062.00
30-06-2011,78061,3062.00
30-06-2011,567507,4838.00
14-07-2011,45675,311.61
20-07-2011,113756,5301.00
21-07-2011,233059,3000.00
23-07-2011,753341,9222.00
25-07-2011,113755,1377.00
25-07-2011,113754,7338.00
25-07-2011,120970,9141.00
01-08-2011,90228,3136.00
03-08-2011,819414,3221.00
11-09-2011,235609,37745.00
16-09-2011,742824,38450.00
01-10-2011,39999,722.00
01-10-2011,910734,722.00
01-10-2011,910798,722.00
01-10-2011,724819,1778.00
01-10-2011,43428,1795.00
11-10-2011,3873024,12010.00
31-10-2011,758920,19223.00
31-10-2011,505104,40000.00
26-11-2011,746757,410.00
26-11-2011,746586,3600.00
28-11-2011,1875,1227.00
28-11-2011,1875,1413.00
28-11-2011,1875,1663.00
28-11-2011,1875,1965.00
29-11-2011,918768,5557.00
12-12-2011,218898,2880.00
24-12-2011,11045,4502.00
17-02-2016,42859,3235.00
