"TRAN DATE","paySlip","CHQ NO","amount"
"27/02/2018",5229,375822,1261
"27/02/2018",5229,375821,1300
"27/02/2018",5229,7752,2205
"27/02/2018",5229,254,7596
"27/02/2018",5229,239,7800
"27/02/2018",5229,5737,10171
"27/02/2018",5229,269526,11381
"27/02/2018",5229,918439,15445
"27/02/2018",5230,754417,31859
"27/02/2018",5230,7753,2170
"27/02/2018",5230,7754,2187
"27/02/2018",5230,44181,33787
"27/02/2018",5230,139184,14993
"27/02/2018",5230,165920,19163
"27/02/2018",5230,199007,59491
"27/02/2018",5230,457323,4290
"27/02/2018",5230,659407,76800
"27/02/2018",5230,671728,2143
"27/02/2018",5231,980346,2731
"27/02/2018",5231,6213,7632
"27/02/2018",5231,160778,17039
"27/02/2018",5231,170176,7374
"27/02/2018",5231,400494,8495
"27/02/2018",5231,827326,13193
"27/02/2018",5231,883776,3002
"27/02/2018",5231,890187,14555
"27/02/2018",5231,948189,24457
"27/02/2018",5232,988470,8896
"27/02/2018",5232,373,1232
"27/02/2018",5232,6755,4627
"27/02/2018",5232,608060,5185
"27/02/2018",5232,374,14681
"27/02/2018",5232,33,15994
"27/02/2018",5232,218131,22918
"27/02/2018",5232,417,26559
"27/02/2018",5232,375,28500
"27/02/2018",5232,370224,32819
"27/02/2018",5232,418,36551
"27/02/2018",5233,416,42315
"27/02/2018",5233,6,5306
"27/02/2018",5233,16126,11527
"27/02/2018",5233,19915,3909
"27/02/2018",5233,56322,46620
"27/02/2018",5233,196917,8064
"27/02/2018",5233,450480,4147
"27/02/2018",5233,490199,7092
"27/02/2018",5233,507976,5345
"27/02/2018",5233,662925,15922
"27/02/2018",5233,756771,2406
"27/02/2018",5233,910066,7297
"27/02/2018",5234,3376532,55673
"27/02/2018",5234,14403,48296
"27/02/2018",5234,26732,18401
"27/02/2018",5234,40964,15582
"27/02/2018",5223,70304,15138
"27/02/2018",5223,1852,9542
"27/02/2018",5223,3690,23295
"27/02/2018",5223,11296,15012
"27/02/2018",5223,22782,6102
"27/02/2018",5223,80808,20055
"27/02/2018",5223,163468,67865
"27/02/2018",5223,185757,18086
"27/02/2018",5223,363284,9374
"27/02/2018",5223,648304,12284
"27/02/2018",5223,888431,10192
"27/02/2018",5225,967716,32120
"27/02/2018",5225,1,4751
"27/02/2018",5225,12,13845
"27/02/2018",5225,22751,6878
"27/02/2018",5225,47951,11501
"27/02/2018",5225,104656,36259
"27/02/2018",5225,185758,16679
"27/02/2018",5225,429200,6780
"27/02/2018",5225,584911,130978
"27/02/2018",5225,631809,7508
"27/02/2018",5225,697564,106321
"27/02/2018",5225,753842,3622
"27/02/2018",5225,830791,13861
"27/02/2018",5226,987779,24020
"27/02/2018",5226,13,31034
"27/02/2018",5226,27699,24003
"27/02/2018",5226,96046,12010
"27/02/2018",5226,145259,20739
"27/02/2018",5226,183420,6726
"27/02/2018",5226,247813,30325
"27/02/2018",5226,260704,40596
"27/02/2018",5226,294643,6125
"27/02/2018",5226,300657,14416
"27/02/2018",5226,536042,4530
"27/02/2018",5226,553832,12387
"27/02/2018",5226,662106,33856
"27/02/2018",5227,913404,11790
"27/02/2018",5227,2,14909
"27/02/2018",5227,2524,43849
"27/02/2018",5227,913403,3592
"27/02/2018",5227,932582,48952
"27/02/2018",5228,932583,42742
"27/02/2018",5228,11,14318
"27/02/2018",5228,15,20477
"27/02/2018",5228,58284,23859
"27/02/2018",5228,113595,21671
"27/02/2018",5228,137599,8403
"27/02/2018",5228,249108,614
"27/02/2018",5228,249109,2275
"27/02/2018",5228,268057,1837
"27/02/2018",5228,432175,10840
"27/02/2018",5228,698994,1273
"27/02/2018",5228,778836,8759
"27/02/2018",5228,817982,2800
"27/02/2018",5229,861624,9740
"27/02/2018",5229,428384,3604
"27/02/2018",5229,505058,6065
"27/02/2018",5270,865258,16731
"28/02/2018",5229,0,4328849
"27/02/2018",5232,23586,19479
"27/02/2018",5232,327353,8264
"27/02/2018",5233,327356,14806
"27/02/2018",5234,128808,3843
"27/02/2018",5306,26932,13805
"03/01/2018",5339,0,655197
"03/05/2018",5356,0,2723620
"03/06/2018",5254,0,2823946
"28/02/2018",5254,35734,3215
"28/02/2018",5254,69379,20738
"28/02/2018",5254,225646,6154
"28/02/2018",5259,295111,28811
"28/02/2018",5259,16959,82063
"28/02/2018",5259,16960,117800
"28/02/2018",5260,23587,66656
"28/02/2018",5261,16958,96548
"28/02/2018",5262,79145,3433
"28/02/2018",5268,231809,3210
"28/02/2018",5302,2146945,29699
"03/01/2018",5303,264508,100978
"03/01/2018",5323,23879,1759
"03/05/2018",5325,295431,10000
"03/05/2018",5260,48025,12482
"28/02/2018",5260,9181,38688
"28/02/2018",5260,17422,8660
"28/02/2018",5260,17424,24260
"28/02/2018",5260,59425,20000
"28/02/2018",5260,185759,23569
"28/02/2018",5260,196074,16366
"28/02/2018",5260,371038,10485
"28/02/2018",5260,592443,24020
"28/02/2018",5260,764493,4989
"28/02/2018",5261,802545,3270
"28/02/2018",5261,3,36183
"28/02/2018",5261,20,79064
"28/02/2018",5261,30,17372
"28/02/2018",5261,33,3457
"28/02/2018",5261,1149,6298
"28/02/2018",5261,79237,6005
"28/02/2018",5261,99893,2700
"28/02/2018",5261,154037,9439
"28/02/2018",5261,252355,2432
"28/02/2018",5261,300112,3335
"28/02/2018",5261,430587,5384
"28/02/2018",5267,718308,7671
"28/02/2018",5267,252,2544
"28/02/2018",5267,253,7240
"28/02/2018",5267,20927,6979
"28/02/2018",5267,24571,46187
"28/02/2018",5267,98008,7183
"28/02/2018",5267,99731,589
"28/02/2018",5267,169175,2550
"28/02/2018",5267,282636,27996
"28/02/2018",5267,390546,3534
"28/02/2018",5267,390547,6923
"28/02/2018",5267,390548,8799
"28/02/2018",5267,571539,23126
"28/02/2018",5268,579027,4783
"28/02/2018",5268,474,12010
"28/02/2018",5268,7571,1225
"28/02/2018",5268,87074,14093
"28/02/2018",5268,274169,6336
"28/02/2018",5268,285490,3492
"28/02/2018",5268,293393,2651
"28/02/2018",5268,302998,1516
"28/02/2018",5268,422091,11399
"28/02/2018",5268,584805,11212
"28/02/2018",5268,606100,42943
"28/02/2018",5268,686253,13871
"28/02/2018",5269,714910,12010
"28/02/2018",5269,8446,18828
"28/02/2018",5269,8447,45358
"28/02/2018",5269,8448,22093
"28/02/2018",5254,86225,35377
"28/02/2018",5255,606684,17932
"28/02/2018",5255,239,6410
"28/02/2018",5255,54707,6530
"28/02/2018",5255,63739,8269
"28/02/2018",5255,271362,7865
"28/02/2018",5255,386321,9608
"28/02/2018",5255,390155,13884
"28/02/2018",5255,410445,15544
"28/02/2018",5255,424378,9766
"28/02/2018",5255,503659,5981
"28/02/2018",5255,610714,4543
"28/02/2018",5255,610715,13440
"28/02/2018",5255,824831,35397
"28/02/2018",5256,839095,705
"28/02/2018",5256,8449,60184
"28/02/2018",5256,63351,12130
"28/02/2018",5256,63352,8526
"28/02/2018",5256,258710,12880
"28/02/2018",5256,294300,12010
"28/02/2018",5256,319150,33740
"28/02/2018",5256,350706,4270
"28/02/2018",5256,386322,3282
"28/02/2018",5256,495940,12906
"28/02/2018",5256,530232,40322
"28/02/2018",5256,540024,7438
"28/02/2018",5256,647940,2576
"28/02/2018",5257,856792,23061
"28/02/2018",5257,1148,7599
"28/02/2018",5257,6214,164574
"28/02/2018",5257,27154,25952
"28/02/2018",5257,35603,25302
"28/02/2018",5257,323298,17631
"28/02/2018",5257,423841,6850
"28/02/2018",5257,467713,60426
"28/02/2018",5257,513630,3934
"28/02/2018",5257,529301,7775
"28/02/2018",5257,533263,4795
"28/02/2018",5258,674857,24020
"28/02/2018",5260,839096,706
"28/02/2018",5260,335976,16395
"28/02/2018",5301,699325,10011
"03/01/2018",5301,321028,24020
"03/01/2018",5302,523495,13220
"03/01/2018",5302,215843,1225
"03/01/2018",5303,679851,3143
"03/01/2018",5303,263615,5974
"03/01/2018",5303,455750,35523
"03/01/2018",5303,478315,8140
"03/01/2018",5303,478318,31752
"03/01/2018",5303,499170,50954
"03/01/2018",5303,521104,7156
"03/01/2018",5303,541321,10639
"03/01/2018",5303,560983,601
"03/01/2018",5303,661145,6005
"03/01/2018",5262,950565,25230
"28/02/2018",5262,7206,6833
"28/02/2018",5262,9867,30391
"28/02/2018",5262,17092,37460
"28/02/2018",5262,43246,7817
"28/02/2018",5262,61568,5137
"28/02/2018",5262,107858,9330
"28/02/2018",5262,231808,8740
"28/02/2018",5262,263614,7397
"28/02/2018",5262,273336,1991
"28/02/2018",5262,454922,28576
"28/02/2018",5262,484923,26986
"28/02/2018",5263,575760,10024
"28/02/2018",5263,25,1985
"28/02/2018",5263,1449,21835
"28/02/2018",5263,45492,24169
"28/02/2018",5263,135348,12552
"28/02/2018",5263,452828,9187
"28/02/2018",5263,510208,4027
"28/02/2018",5263,510209,4134
"28/02/2018",5263,652568,1238
"28/02/2018",5263,704295,12845
"28/02/2018",5263,852135,18057
"28/02/2018",5263,922270,24726
"28/02/2018",5263,953359,22127
"28/02/2018",5264,996914,10412
"28/02/2018",5264,1,132873
"28/02/2018",5264,35512,12707
"28/02/2018",5264,47950,7983
"28/02/2018",5264,139016,3857
"28/02/2018",5264,177421,2096
"28/02/2018",5264,228661,7809
"28/02/2018",5264,257844,68100
"28/02/2018",5264,437511,12670
"28/02/2018",5264,859654,19722
"28/02/2018",5264,928014,6747
"28/02/2018",5264,953358,18799
"28/02/2018",5265,980029,41984
"28/02/2018",5266,291702,4220
"28/02/2018",5266,85261,5478
"28/02/2018",5266,571503,2353
"28/02/2018",5300,811766,12483
"03/01/2018",5300,1433,78173
"03/01/2018",5300,500055,8324
"03/01/2018",5300,667102,12204
"03/01/2018",5302,701854,3629
"03/01/2018",5302,70,10000
"03/01/2018",5302,1178,45481
"03/01/2018",5302,16808,55345
"03/01/2018",5302,22303,766
"03/01/2018",5302,22901,1131
"03/01/2018",5302,231810,9335
"03/01/2018",5302,560984,4823
"03/01/2018",5302,671727,2162
"03/01/2018",5302,751096,12010
"03/01/2018",5266,791159,1225
"28/02/2018",5266,97110,45339
"28/02/2018",5266,110358,30025
"28/02/2018",5266,527233,6135
"28/02/2018",5266,527235,6135
"28/02/2018",5266,661982,11261
"28/02/2018",5266,760079,2135
"28/02/2018",5266,782999,7910
"28/02/2018",5266,862289,6065
"28/02/2018",5266,899777,9067
"28/02/2018",5385,973348,7900
"03/07/2018",5264,0,2369825
"28/02/2018",5327,202394,3210
"03/05/2018",5327,1515,32520
"03/05/2018",5327,16923,8557
"03/05/2018",5327,38653,24997
"03/05/2018",5327,75039,34557
"03/05/2018",5327,175452,20878
"03/05/2018",5327,179759,23996
"03/05/2018",5327,270520,5340
"03/05/2018",5327,397302,18600
"03/05/2018",5327,528780,9089
"03/05/2018",5327,529473,3772
"03/05/2018",5327,546173,22993
"03/05/2018",5327,571605,33033
"03/05/2018",5331,960584,16190
"03/05/2018",5326,191140,25735
"03/05/2018",5328,397524,8896
"03/05/2018",5328,10351,13969
"03/05/2018",5328,35711,5348
"03/05/2018",5328,64638,5589
"03/05/2018",5328,88590,26474
"03/05/2018",5328,94000,7406
"03/05/2018",5328,212129,15613
"03/05/2018",5328,225320,3484
"03/05/2018",5328,397878,13245
"03/05/2018",5328,507578,3500
"03/05/2018",5328,531131,25489
"03/05/2018",5328,531132,12221
"03/05/2018",5328,555508,14402
"03/05/2018",5329,982010,34292
"03/05/2018",5329,72,9050
"03/05/2018",5329,1282,4415
"03/05/2018",5329,106559,8645
"03/05/2018",5329,359362,10912
"03/05/2018",5329,548755,35146
"03/05/2018",5329,627230,8075
"03/05/2018",5329,670313,6443
"03/05/2018",5329,767932,24543
"03/05/2018",5329,788964,27939
"03/05/2018",5329,794700,10000
"03/05/2018",5329,886964,11079
"03/05/2018",5329,924917,3062
"03/05/2018",5330,960505,6979
"03/05/2018",5330,14,24320
"03/05/2018",5330,32,12546
"03/05/2018",5330,67,6691
"03/05/2018",5330,47952,10376
"03/05/2018",5330,138409,6222
"03/05/2018",5330,161524,11240
"03/05/2018",5330,216165,12216
"03/05/2018",5330,218407,14145
"03/05/2018",5330,269821,35056
"03/05/2018",5330,300658,49716
"03/05/2018",5330,454063,36120
"03/05/2018",5330,840334,9550
"03/05/2018",5331,881779,7682
"03/05/2018",5331,1257,24186
"03/05/2018",5331,19344,23066
"03/05/2018",5331,280783,5148
"03/05/2018",5331,357183,4781
"03/05/2018",5331,374111,35166
"03/05/2018",5331,540374,9608
"03/05/2018",5331,561519,13806
"03/05/2018",5331,713396,9500
"03/05/2018",5331,319533,31365
"03/05/2018",5331,495157,8593
"03/05/2018",5332,537914,12010
"03/05/2018",5332,3231,24020
"03/05/2018",5332,3232,12010
"03/05/2018",5332,668813,28808
"03/05/2018",5332,668814,12010
"03/05/2018",5333,682836,49153
"03/05/2018",5333,8579,35122
"03/05/2018",5333,16387,36030
