,TRAN DATE,PAYSLIP,CHEQUE,AMOUNT
224,2018-03-01,5302.0,215843.0,1225.0
225,2018-03-01,5303.0,679851.0,3143.0
226,2018-03-01,5303.0,263615.0,5974.0
227,2018-03-01,5303.0,455750.0,35523.0
228,2018-03-01,5303.0,478315.0,8140.0
229,2018-03-01,5303.0,478318.0,31752.0
230,2018-03-01,5303.0,499170.0,50954.0
231,2018-03-01,5303.0,521104.0,7156.0
232,2018-03-01,5303.0,541321.0,10639.0
233,2018-03-01,5303.0,560983.0,601.0
234,2018-03-01,5303.0,661145.0,6005.0
235,2018-03-01,5262.0,950565.0,25230.0
236,2018-02-28,5262.0,7206.0,6833.0
237,2018-02-28,5262.0,9867.0,30391.0
238,2018-02-28,5262.0,17092.0,37460.0
239,2018-02-28,5262.0,43246.0,7817.0
240,2018-02-28,5262.0,61568.0,5137.0
241,2018-02-28,5262.0,107858.0,9330.0
242,2018-02-28,5262.0,231808.0,8740.0
243,2018-02-28,5262.0,263614.0,7397.0
244,2018-02-28,5262.0,273336.0,1991.0
245,2018-02-28,5262.0,454922.0,28576.0
246,2018-02-28,5262.0,484923.0,26986.0
247,2018-02-28,5263.0,575760.0,10024.0
248,2018-02-28,5263.0,25.0,1985.0
249,2018-02-28,5263.0,1449.0,21835.0
250,2018-02-28,5263.0,45492.0,24169.0
251,2018-02-28,5263.0,135348.0,12552.0
252,2018-02-28,5263.0,452828.0,9187.0
253,2018-02-28,5263.0,510208.0,4027.0
254,2018-02-28,5263.0,510209.0,4134.0
255,2018-02-28,5263.0,652568.0,1238.0
256,2018-02-28,5263.0,704295.0,12845.0
257,2018-02-28,5263.0,852135.0,18057.0
258,2018-02-28,5263.0,922270.0,24726.0
259,2018-02-28,5263.0,953359.0,22127.0
260,2018-02-28,5264.0,996914.0,10412.0
261,2018-02-28,5264.0,1.0,132873.0
262,2018-02-28,5264.0,35512.0,12707.0
263,2018-02-28,5264.0,47950.0,7983.0
264,2018-02-28,5264.0,139016.0,3857.0
265,2018-02-28,5264.0,177421.0,2096.0
266,2018-02-28,5264.0,228661.0,7809.0
267,2018-02-28,5264.0,257844.0,68100.0
268,2018-02-28,5264.0,437511.0,12670.0
269,2018-02-28,5264.0,859654.0,19722.0
270,2018-02-28,5264.0,928014.0,6747.0
271,2018-02-28,5264.0,953358.0,18799.0
272,2018-02-28,5265.0,980029.0,41984.0
273,2018-02-28,5266.0,291702.0,4220.0
274,2018-02-28,5266.0,85261.0,5478.0
275,2018-02-28,5266.0,571503.0,2353.0
276,2018-02-28,5300.0,811766.0,12483.0
277,2018-03-01,5300.0,1433.0,78173.0
278,2018-03-01,5300.0,500055.0,8324.0
279,2018-03-01,5300.0,667102.0,12204.0
280,2018-03-01,5302.0,701854.0,3629.0
281,2018-03-01,5302.0,70.0,10000.0
282,2018-03-01,5302.0,1178.0,45481.0
283,2018-03-01,5302.0,16808.0,55345.0
284,2018-03-01,5302.0,22303.0,766.0
285,2018-03-01,5302.0,22901.0,1131.0
286,2018-03-01,5302.0,231810.0,9335.0
287,2018-03-01,5302.0,560984.0,4823.0
288,2018-03-01,5302.0,671727.0,2162.0
289,2018-03-01,5302.0,751096.0,12010.0
290,2018-03-01,5266.0,791159.0,1225.0
291,2018-02-28,5266.0,97110.0,45339.0
292,2018-02-28,5266.0,110358.0,30025.0
293,2018-02-28,5266.0,527233.0,6135.0
294,2018-02-28,5266.0,527235.0,6135.0
295,2018-02-28,5266.0,661982.0,11261.0
296,2018-02-28,5266.0,760079.0,2135.0
297,2018-02-28,5266.0,782999.0,7910.0
