CPNC AS ON -02-2017,,,,,
TRAN DATE,Pay in slip,CHQ NO,amount,,
,,Total,26446204.24,0.00,47663096.00
,,,,,
04-06-2010,,574615,827.00,,
04-06-2010,,75116,964.00,,
04-06-2010,,567134,1004.80,,
04-06-2010,,565152,1868.70,,
04-06-2010,,549307,3400.00,,
04-06-2010,,565153,7724.00,,
19-06-2010,,31624,782.00,,
22-06-2010,,231259,494.00,,
28-06-2010,,159430,160.00,,
28-06-2010,,126704,199.00,,
28-06-2010,,147475,243.00,,
28-06-2010,,2785,596.00,,
28-06-2010,,131058,731.00,,
30-06-2010,,146017,243.00,,
30-06-2010,,49453,361.00,,
30-06-2010,,212896,722.00,,
30-06-2010,,93378,731.00,,
30-06-2010,,789966,1874.00,,
30-06-2010,,788058,1995.00,,
04-07-2010,,567256,4072.00,,
12-07-2010,,750038,3409.00,,
04-08-2010,,76604,3659.00,,
12-08-2010,,116830,4728.00,,
26-08-2010,,22418,456.00,,
27-08-2010,,34796,919.00,,
31-08-2010,,67947,855.00,,
04-09-2010,,278985,3362.00,,
07-09-2010,,681939,171.00,,
04-10-2010,,680855,3421.00,,
05-10-2010,,986403,515.00,,
10-11-2010,,989950,1738.30,,
10-11-2010,,286641,4098.00,,
04-12-2010,,184651,1837.00,,
22-12-2010,,223506,2257.00,,
23-12-2010,,52078,5227.00,,
24-12-2010,,225719,3337.00,,
27-12-2010,,113482,2069.00,,
27-12-2010,,3439438,6315.00,,
28-12-2010,,728979,1634.00,,
29-12-2010,,14429,3226.00,,
30-12-2010,,5445333,822.00,,
30-12-2010,,83,1404.00,,
30-12-2010,,893188,3337.00,,
31-12-2010,,560269,5175.00,,
03-01-2011,,541808,1006.00,,
03-01-2011,,1423,1006.00,,
09-01-2011,,258373,5000.00,,
24-01-2011,,821267,2082.00,,
25-02-2011,,760134,1153.00,,
25-02-2011,,760357,1153.00,,
28-02-2011,,335807,5099.00,,
02-03-2011,,8561,250.00,,
03-05-2011,,44329,1795.00,,
03-05-2011,,735266,3039.00,,
20-06-2011,,94647,822.00,,
28-06-2011,,12705,3062.00,,
30-06-2011,,78061,3062.00,,
30-06-2011,,567507,4838.00,,
14-07-2011,,45675,311.61,,
20-07-2011,,113756,5301.00,,
21-07-2011,,233059,3000.00,,
23-07-2011,,753341,9222.00,,
25-07-2011,,113755,1377.00,,
25-07-2011,,113754,7338.00,,
25-07-2011,,120970,9141.00,,
01-08-2011,,90228,3136.00,,
03-08-2011,,819414,3221.00,,
11-09-2011,,235609,37745.00,,
16-09-2011,,742824,38450.00,,
01-10-2011,,39999,722.00,,
01-10-2011,,910734,722.00,,
01-10-2011,,910798,722.00,,
01-10-2011,,724819,1778.00,,
01-10-2011,,43428,1795.00,,
11-10-2011,,3873024,12010.00,,
31-10-2011,,758920,19223.00,,
31-10-2011,,505104,40000.00,,
26-11-2011,,746757,410.00,,
26-11-2011,,746586,3600.00,,
28-11-2011,,1875,1227.00,,
28-11-2011,,1875,1413.00,,
28-11-2011,,1875,1663.00,,
28-11-2011,,1875,1965.00,,
29-11-2011,,918768,5557.00,,
12-12-2011,,218898,2880.00,,
24-12-2011,,11045,4502.00,,
17-02-2016,4798,42859,3235.00,CDA,
27/02/2018,5229,375822,,03/01/2018,1261.00
27/02/2018,5229,375821,,03/01/2018,1300.00
27/02/2018,5229,7752,,03/01/2018,2205.00
27/02/2018,5229,254,,03/01/2018,7596.00
27/02/2018,5229,239,,03/01/2018,7800.00
27/02/2018,5229,5737,,03/01/2018,10171.00
27/02/2018,5229,269526,,03/01/2018,11381.00
27/02/2018,5229,918439,,03/01/2018,15445.00
27/02/2018,5229,754417,,03/01/2018,31859.00
27/02/2018,5230,7753,,03/01/2018,2170.00
27/02/2018,5230,7754,,03/01/2018,2187.00
27/02/2018,5230,44181,,03/01/2018,33787.00
27/02/2018,5230,139184,,03/01/2018,14993.00
27/02/2018,5230,165920,,03/01/2018,19163.00
27/02/2018,5230,199007,,03/01/2018,59491.00
27/02/2018,5230,457323,,03/01/2018,4290.00
27/02/2018,5230,659407,,03/01/2018,76800.00
27/02/2018,5230,671728,,03/01/2018,2143.00
27/02/2018,5230,980346,,03/01/2018,2731.00
27/02/2018,5231,6213,,03/01/2018,7632.00
27/02/2018,5231,160778,,03/01/2018,17039.00
27/02/2018,5231,170176,,03/01/2018,7374.00
27/02/2018,5231,400494,,03/01/2018,8495.00
27/02/2018,5231,827326,,03/01/2018,13193.00
27/02/2018,5231,883776,,03/01/2018,3002.00
27/02/2018,5231,890187,,03/01/2018,14555.00
27/02/2018,5231,948189,,03/01/2018,24457.00
27/02/2018,5231,988470,,03/01/2018,8896.00
27/02/2018,5232,373,,03/01/2018,1232.00
27/02/2018,5232,6755,,03/01/2018,4627.00
27/02/2018,5232,608060,,03/01/2018,5185.00
27/02/2018,5232,374,,03/01/2018,14681.00
27/02/2018,5232,33,,03/01/2018,15994.00
27/02/2018,5232,218131,,03/01/2018,22918.00
27/02/2018,5232,417,,03/01/2018,26559.00
27/02/2018,5232,375,,03/01/2018,28500.00
27/02/2018,5232,370224,,03/01/2018,32819.00
27/02/2018,5232,418,,03/01/2018,36551.00
27/02/2018,5232,416,,03/01/2018,42315.00
27/02/2018,5233,6,,03/01/2018,5306.00
27/02/2018,5233,16126,,03/01/2018,11527.00
27/02/2018,5233,19915,,03/01/2018,3909.00
27/02/2018,5233,56322,,03/01/2018,46620.00
27/02/2018,5233,196917,,03/01/2018,8064.00
27/02/2018,5233,450480,,03/01/2018,4147.00
27/02/2018,5233,490199,,03/01/2018,7092.00
27/02/2018,5233,507976,,03/01/2018,5345.00
27/02/2018,5233,662925,,03/01/2018,15922.00
27/02/2018,5233,756771,,03/01/2018,2406.00
27/02/2018,5233,910066,,03/01/2018,7297.00
27/02/2018,5233,3376532,,03/01/2018,55673.00
27/02/2018,5234,14403,,03/01/2018,48296.00
27/02/2018,5234,26732,,03/01/2018,18401.00
27/02/2018,5234,40964,,03/01/2018,15582.00
27/02/2018,5234,70304,,03/01/2018,15138.00
27/02/2018,5223,1852,,03/01/2018,9542.00
27/02/2018,5223,3690,,03/01/2018,23295.00
27/02/2018,5223,11296,,03/01/2018,15012.00
27/02/2018,5223,22782,,03/01/2018,6102.00
27/02/2018,5223,80808,,03/01/2018,20055.00
27/02/2018,5223,163468,,03/01/2018,67865.00
27/02/2018,5223,185757,,03/01/2018,18086.00
27/02/2018,5223,363284,,03/01/2018,9374.00
27/02/2018,5223,648304,,03/01/2018,12284.00
27/02/2018,5223,888431,,03/01/2018,10192.00
27/02/2018,5223,967716,,03/01/2018,32120.00
27/02/2018,5225,1,,03/01/2018,4751.00
27/02/2018,5225,12,,03/01/2018,13845.00
27/02/2018,5225,22751,,03/01/2018,6878.00
27/02/2018,5225,47951,,03/01/2018,11501.00
27/02/2018,5225,104656,,03/01/2018,36259.00
27/02/2018,5225,185758,,03/01/2018,16679.00
27/02/2018,5225,429200,,03/01/2018,6780.00
27/02/2018,5225,584911,,03/01/2018,130978.00
27/02/2018,5225,631809,,03/01/2018,7508.00
27/02/2018,5225,697564,,03/01/2018,106321.00
27/02/2018,5225,753842,,03/01/2018,3622.00
27/02/2018,5225,830791,,03/01/2018,13861.00
27/02/2018,5225,987779,,03/01/2018,24020.00
27/02/2018,5226,13,,03/01/2018,31034.00
27/02/2018,5226,27699,,03/01/2018,24003.00
27/02/2018,5226,96046,,03/01/2018,12010.00
27/02/2018,5226,145259,,03/01/2018,20739.00
27/02/2018,5226,183420,,03/01/2018,6726.00
27/02/2018,5226,247813,,03/01/2018,30325.00
27/02/2018,5226,260704,,03/01/2018,40596.00
27/02/2018,5226,294643,,03/01/2018,6125.00
27/02/2018,5226,300657,,03/01/2018,14416.00
27/02/2018,5226,536042,,03/01/2018,4530.00
27/02/2018,5226,553832,,03/01/2018,12387.00
27/02/2018,5226,662106,,03/01/2018,33856.00
27/02/2018,5226,913404,,03/01/2018,11790.00
27/02/2018,5227,2,,03/01/2018,14909.00
27/02/2018,5227,2524,,03/01/2018,43849.00
27/02/2018,5227,913403,,03/01/2018,3592.00
27/02/2018,5227,932582,,03/01/2018,48952.00
27/02/2018,5227,932583,,03/01/2018,42742.00
27/02/2018,5228,11,,03/01/2018,14318.00
27/02/2018,5228,15,,03/01/2018,20477.00
27/02/2018,5228,58284,,03/01/2018,23859.00
27/02/2018,5228,113595,,03/01/2018,21671.00
27/02/2018,5228,137599,,03/01/2018,8403.00
27/02/2018,5228,249108,,03/01/2018,614.00
27/02/2018,5228,249109,,03/01/2018,2275.00
27/02/2018,5228,268057,,03/01/2018,1837.00
27/02/2018,5228,432175,,03/01/2018,10840.00
27/02/2018,5228,698994,,03/01/2018,1273.00
27/02/2018,5228,778836,,03/01/2018,8759.00
27/02/2018,5228,817982,,03/01/2018,2800.00
27/02/2018,5228,861624,,03/01/2018,9740.00
27/02/2018,5229,428384,,03/01/2018,3604.00
27/02/2018,5229,505058,,03/01/2018,6065.00
27/02/2018,5229,865258,,03/01/2018,16731.00
28/02/2018,5270,CASH,,03/01/2018,4328849.00
27/02/2018,5229,23586,,03/05/2018,19479.00
27/02/2018,5232,327353,,03/05/2018,8264.00
27/02/2018,5232,327356,,03/05/2018,14806.00
27/02/2018,5233,128808,,03/05/2018,3843.00
27/02/2018,5234,26932,,03/05/2018,13805.00
03/01/2018,5306,cash,,03/05/2018,655197.00
03/05/2018,5339,cash,,03/06/2018,2723620.00
03/06/2018,5356,cash,,03/07/2018,2823946.00
28/02/2018,5254,35734,,03/08/2018,3215.00
28/02/2018,5254,69379,,03/08/2018,20738.00
28/02/2018,5254,225646,,03/08/2018,6154.00
28/02/2018,5254,295111,,03/08/2018,28811.00
28/02/2018,5259,16959,,03/08/2018,82063.00
28/02/2018,5259,16960,,03/08/2018,117800.00
28/02/2018,5259,23587,,03/08/2018,66656.00
28/02/2018,5260,16958,,03/08/2018,96548.00
28/02/2018,5261,79145,,03/08/2018,3433.00
28/02/2018,5262,231809,,03/08/2018,3210.00
28/02/2018,5268,2146945,,03/08/2018,29699.00
03/01/2018,5302,264508,,03/08/2018,100978.00
03/01/2018,5303,23879,,03/08/2018,1759.00
03/05/2018,5323,295431,,03/08/2018,10000.00
03/05/2018,5325,48025,,03/08/2018,12482.00
28/02/2018,5260,9181,,03/08/2018,38688.00
28/02/2018,5260,17422,,03/08/2018,8660.00
28/02/2018,5260,17424,,03/08/2018,24260.00
28/02/2018,5260,59425,,03/08/2018,20000.00
28/02/2018,5260,185759,,03/08/2018,23569.00
28/02/2018,5260,196074,,03/08/2018,16366.00
28/02/2018,5260,371038,,03/08/2018,10485.00
28/02/2018,5260,592443,,03/08/2018,24020.00
28/02/2018,5260,764493,,03/08/2018,4989.00
28/02/2018,5260,802545,,03/08/2018,3270.00
28/02/2018,5261,3,,03/08/2018,36183.00
28/02/2018,5261,20,,03/08/2018,79064.00
28/02/2018,5261,30,,03/08/2018,17372.00
28/02/2018,5261,33,,03/08/2018,3457.00
28/02/2018,5261,1149,,03/08/2018,6298.00
28/02/2018,5261,79237,,03/08/2018,6005.00
28/02/2018,5261,99893,,03/08/2018,2700.00
28/02/2018,5261,154037,,03/08/2018,9439.00
28/02/2018,5261,252355,,03/08/2018,2432.00
28/02/2018,5261,300112,,03/08/2018,3335.00
28/02/2018,5261,430587,,03/08/2018,5384.00
28/02/2018,5261,718308,,03/08/2018,7671.00
28/02/2018,5267,252,,03/08/2018,2544.00
28/02/2018,5267,253,,03/08/2018,7240.00
28/02/2018,5267,20927,,03/08/2018,6979.00
28/02/2018,5267,24571,,03/08/2018,46187.00
28/02/2018,5267,98008,,03/08/2018,7183.00
28/02/2018,5267,99731,,03/08/2018,589.00
28/02/2018,5267,169175,,03/08/2018,2550.00
28/02/2018,5267,282636,,03/08/2018,27996.00
28/02/2018,5267,390546,,03/08/2018,3534.00
28/02/2018,5267,390547,,03/08/2018,6923.00
28/02/2018,5267,390548,,03/08/2018,8799.00
28/02/2018,5267,571539,,03/08/2018,23126.00
28/02/2018,5267,579027,,03/08/2018,4783.00
28/02/2018,5268,474,,03/08/2018,12010.00
28/02/2018,5268,7571,,03/08/2018,1225.00
28/02/2018,5268,87074,,03/08/2018,14093.00
28/02/2018,5268,274169,,03/08/2018,6336.00
28/02/2018,5268,285490,,03/08/2018,3492.00
28/02/2018,5268,293393,,03/08/2018,2651.00
28/02/2018,5268,302998,,03/08/2018,1516.00
28/02/2018,5268,422091,,03/08/2018,11399.00
28/02/2018,5268,584805,,03/08/2018,11212.00
28/02/2018,5268,606100,,03/08/2018,42943.00
28/02/2018,5268,686253,,03/08/2018,13871.00
28/02/2018,5268,714910,,03/08/2018,12010.00
28/02/2018,5269,8446,,03/08/2018,18828.00
28/02/2018,5269,8447,,03/08/2018,45358.00
28/02/2018,5269,8448,,03/08/2018,22093.00
28/02/2018,5269,86225,,03/08/2018,35377.00
28/02/2018,5254,606684,,03/08/2018,17932.00
28/02/2018,5255,239,,03/08/2018,6410.00
28/02/2018,5255,54707,,03/08/2018,6530.00
28/02/2018,5255,63739,,03/08/2018,8269.00
28/02/2018,5255,271362,,03/08/2018,7865.00
28/02/2018,5255,386321,,03/08/2018,9608.00
28/02/2018,5255,390155,,03/08/2018,13884.00
28/02/2018,5255,410445,,03/08/2018,15544.00
28/02/2018,5255,424378,,03/08/2018,9766.00
28/02/2018,5255,503659,,03/08/2018,5981.00
28/02/2018,5255,610714,,03/08/2018,4543.00
28/02/2018,5255,610715,,03/08/2018,13440.00
28/02/2018,5255,824831,,03/08/2018,35397.00
28/02/2018,5255,839095,,03/08/2018,705.00
28/02/2018,5256,8449,,03/08/2018,60184.00
28/02/2018,5256,63351,,03/08/2018,12130.00
28/02/2018,5256,63352,,03/08/2018,8526.00
28/02/2018,5256,258710,,03/08/2018,12880.00
28/02/2018,5256,294300,,03/08/2018,12010.00
28/02/2018,5256,319150,,03/08/2018,33740.00
28/02/2018,5256,350706,,03/08/2018,4270.00
28/02/2018,5256,386322,,03/08/2018,3282.00
28/02/2018,5256,495940,,03/08/2018,12906.00
28/02/2018,5256,530232,,03/08/2018,40322.00
28/02/2018,5256,540024,,03/08/2018,7438.00
28/02/2018,5256,647940,,03/08/2018,2576.00
28/02/2018,5256,856792,,03/08/2018,23061.00
28/02/2018,5257,1148,,03/08/2018,7599.00
28/02/2018,5257,6214,,03/08/2018,164574.00
28/02/2018,5257,27154,,03/08/2018,25952.00
28/02/2018,5257,35603,,03/08/2018,25302.00
28/02/2018,5257,323298,,03/08/2018,17631.00
28/02/2018,5257,423841,,03/08/2018,6850.00
28/02/2018,5257,467713,,03/08/2018,60426.00
28/02/2018,5257,513630,,03/08/2018,3934.00
28/02/2018,5257,529301,,03/08/2018,7775.00
28/02/2018,5257,533263,,03/08/2018,4795.00
28/02/2018,5257,674857,,03/08/2018,24020.00
28/02/2018,5258,839096,,03/08/2018,706.00
28/02/2018,5260,335976,,03/08/2018,16395.00
28/02/2018,5260,699325,,03/08/2018,10011.00
03/01/2018,5301,321028,,03/08/2018,24020.00
03/01/2018,5301,523495,,03/08/2018,13220.00
03/01/2018,5302,215843,,03/08/2018,1225.00
03/01/2018,5302,679851,,03/08/2018,3143.00
03/01/2018,5303,263615,,03/08/2018,5974.00
03/01/2018,5303,455750,,03/08/2018,35523.00
03/01/2018,5303,478315,,03/08/2018,8140.00
03/01/2018,5303,478318,,03/08/2018,31752.00
03/01/2018,5303,499170,,03/08/2018,50954.00
03/01/2018,5303,521104,,03/08/2018,7156.00
03/01/2018,5303,541321,,03/08/2018,10639.00
03/01/2018,5303,560983,,03/08/2018,601.00
03/01/2018,5303,661145,,03/08/2018,6005.00
03/01/2018,5303,950565,,03/08/2018,25230.00
28/02/2018,5262,7206,,03/08/2018,6833.00
28/02/2018,5262,9867,,03/08/2018,30391.00
28/02/2018,5262,17092,,03/08/2018,37460.00
28/02/2018,5262,43246,,03/08/2018,7817.00
28/02/2018,5262,61568,,03/08/2018,5137.00
28/02/2018,5262,107858,,03/08/2018,9330.00
28/02/2018,5262,231808,,03/08/2018,8740.00
28/02/2018,5262,263614,,03/08/2018,7397.00
28/02/2018,5262,273336,,03/08/2018,1991.00
28/02/2018,5262,454922,,03/08/2018,28576.00
28/02/2018,5262,484923,,03/08/2018,26986.00
28/02/2018,5262,575760,,03/08/2018,10024.00
28/02/2018,5263,25,,03/08/2018,1985.00
28/02/2018,5263,1449,,03/08/2018,21835.00
28/02/2018,5263,45492,,03/08/2018,24169.00
28/02/2018,5263,135348,,03/08/2018,12552.00
28/02/2018,5263,452828,,03/08/2018,9187.00
28/02/2018,5263,510208,,03/08/2018,4027.00
28/02/2018,5263,510209,,03/08/2018,4134.00
28/02/2018,5263,652568,,03/08/2018,1238.00
28/02/2018,5263,704295,,03/08/2018,12845.00
28/02/2018,5263,852135,,03/08/2018,18057.00
28/02/2018,5263,922270,,03/08/2018,24726.00
28/02/2018,5263,953359,,03/08/2018,22127.00
28/02/2018,5263,996914,,03/08/2018,10412.00
28/02/2018,5264,1,,03/08/2018,132873.00
28/02/2018,5264,35512,,03/08/2018,12707.00
28/02/2018,5264,47950,,03/08/2018,7983.00
28/02/2018,5264,139016,,03/08/2018,3857.00
28/02/2018,5264,177421,,03/08/2018,2096.00
28/02/2018,5264,228661,,03/08/2018,7809.00
28/02/2018,5264,257844,,03/08/2018,68100.00
28/02/2018,5264,437511,,03/08/2018,12670.00
28/02/2018,5264,859654,,03/08/2018,19722.00
28/02/2018,5264,928014,,03/08/2018,6747.00
28/02/2018,5264,953358,,03/08/2018,18799.00
28/02/2018,5264,980029,,03/08/2018,41984.00
28/02/2018,5265,291702,,03/08/2018,4220.00
28/02/2018,5266,85261,,03/08/2018,5478.00
28/02/2018,5266,571503,,03/08/2018,2353.00
28/02/2018,5266,811766,,03/08/2018,12483.00
03/01/2018,5300,1433,,03/08/2018,78173.00
03/01/2018,5300,500055,,03/08/2018,8324.00
03/01/2018,5300,667102,,03/08/2018,12204.00
03/01/2018,5300,701854,,03/08/2018,3629.00
03/01/2018,5302,70,,03/08/2018,10000.00
03/01/2018,5302,1178,,03/08/2018,45481.00
03/01/2018,5302,16808,,03/08/2018,55345.00
03/01/2018,5302,22303,,03/08/2018,766.00
03/01/2018,5302,22901,,03/08/2018,1131.00
03/01/2018,5302,231810,,03/08/2018,9335.00
03/01/2018,5302,560984,,03/08/2018,4823.00
03/01/2018,5302,671727,,03/08/2018,2162.00
03/01/2018,5302,751096,,03/08/2018,12010.00
03/01/2018,5302,791159,,03/08/2018,1225.00
28/02/2018,5266,97110,,03/08/2018,45339.00
28/02/2018,5266,110358,,03/08/2018,30025.00
28/02/2018,5266,527233,,03/08/2018,6135.00
28/02/2018,5266,527235,,03/08/2018,6135.00
28/02/2018,5266,661982,,03/08/2018,11261.00
28/02/2018,5266,760079,,03/08/2018,2135.00
28/02/2018,5266,782999,,03/08/2018,7910.00
28/02/2018,5266,862289,,03/08/2018,6065.00
28/02/2018,5266,899777,,03/08/2018,9067.00
28/02/2018,5266,973348,,03/08/2018,7900.00
03/07/2018,5385,cash,,03/08/2018,2369825.00
28/02/2018,5264,202394,,03/08/2018,3210.00
03/05/2018,5327,1515,,03/09/2018,32520.00
03/05/2018,5327,16923,,03/09/2018,8557.00
03/05/2018,5327,38653,,03/09/2018,24997.00
03/05/2018,5327,75039,,03/09/2018,34557.00
03/05/2018,5327,175452,,03/09/2018,20878.00
03/05/2018,5327,179759,,03/09/2018,23996.00
03/05/2018,5327,270520,,03/09/2018,5340.00
03/05/2018,5327,397302,,03/09/2018,18600.00
03/05/2018,5327,528780,,03/09/2018,9089.00
03/05/2018,5327,529473,,03/09/2018,3772.00
03/05/2018,5327,546173,,03/09/2018,22993.00
03/05/2018,5327,571605,,03/09/2018,33033.00
03/05/2018,5327,960584,,03/09/2018,16190.00
03/05/2018,5331,191140,,03/09/2018,25735.00
03/05/2018,5326,397524,,03/09/2018,8896.00
03/05/2018,5328,10351,,03/09/2018,13969.00
03/05/2018,5328,35711,,03/09/2018,5348.00
03/05/2018,5328,64638,,03/09/2018,5589.00
03/05/2018,5328,88590,,03/09/2018,26474.00
03/05/2018,5328,94000,,03/09/2018,7406.00
03/05/2018,5328,212129,,03/09/2018,15613.00
03/05/2018,5328,225320,,03/09/2018,3484.00
03/05/2018,5328,397878,,03/09/2018,13245.00
03/05/2018,5328,507578,,03/09/2018,3500.00
03/05/2018,5328,531131,,03/09/2018,25489.00
03/05/2018,5328,531132,,03/09/2018,12221.00
03/05/2018,5328,555508,,03/09/2018,14402.00
03/05/2018,5328,982010,,03/09/2018,34292.00
03/05/2018,5329,72,,03/09/2018,9050.00
03/05/2018,5329,1282,,03/09/2018,4415.00
03/05/2018,5329,106559,,03/09/2018,8645.00
03/05/2018,5329,359362,,03/09/2018,10912.00
03/05/2018,5329,548755,,03/09/2018,35146.00
03/05/2018,5329,627230,,03/09/2018,8075.00
03/05/2018,5329,670313,,03/09/2018,6443.00
03/05/2018,5329,767932,,03/09/2018,24543.00
03/05/2018,5329,788964,,03/09/2018,27939.00
03/05/2018,5329,794700,,03/09/2018,10000.00
03/05/2018,5329,886964,,03/09/2018,11079.00
03/05/2018,5329,924917,,03/09/2018,3062.00
03/05/2018,5329,960505,,03/09/2018,6979.00
03/05/2018,5330,14,,03/09/2018,24320.00
03/05/2018,5330,32,,03/09/2018,12546.00
03/05/2018,5330,67,,03/09/2018,6691.00
03/05/2018,5330,47952,,03/09/2018,10376.00
03/05/2018,5330,138409,,03/09/2018,6222.00
03/05/2018,5330,161524,,03/09/2018,11240.00
03/05/2018,5330,216165,,03/09/2018,12216.00
03/05/2018,5330,218407,,03/09/2018,14145.00
03/05/2018,5330,269821,,03/09/2018,35056.00
03/05/2018,5330,300658,,03/09/2018,49716.00
03/05/2018,5330,454063,,03/09/2018,36120.00
03/05/2018,5330,840334,,03/09/2018,9550.00
03/05/2018,5330,881779,,03/09/2018,7682.00
03/05/2018,5331,1257,,03/09/2018,24186.00
03/05/2018,5331,19344,,03/09/2018,23066.00
03/05/2018,5331,280783,,03/09/2018,5148.00
03/05/2018,5331,357183,,03/09/2018,4781.00
03/05/2018,5331,374111,,03/09/2018,35166.00
03/05/2018,5331,540374,,03/09/2018,9608.00
03/05/2018,5331,561519,,03/09/2018,13806.00
03/05/2018,5331,713396,,03/09/2018,9500.00
03/05/2018,5331,319533,,03/09/2018,31365.00
03/05/2018,5331,495157,,03/09/2018,8593.00
03/05/2018,5331,537914,,03/09/2018,12010.00
03/05/2018,5332,3231,,03/09/2018,24020.00
03/05/2018,5332,3232,,03/09/2018,12010.00
03/05/2018,5332,668813,,03/09/2018,28808.00
03/05/2018,5332,668814,,03/09/2018,12010.00
03/05/2018,5332,682836,,03/09/2018,49153.00
03/05/2018,5333,8579,,03/09/2018,35122.00
03/05/2018,5333,16387,,03/09/2018,36030.00
03/05/2018,5333,110818,,03/09/2018,8602.00
03/05/2018,5333,309207,,03/09/2018,6818.00
03/05/2018,5333,342156,,03/09/2018,22238.00
03/05/2018,5333,575577,,03/09/2018,1773.00
03/05/2018,5333,609410,,03/09/2018,5000.00
03/05/2018,5333,625395,,03/09/2018,10030.00
03/05/2018,5333,718355,,03/09/2018,34196.00
03/05/2018,5333,780313,,03/09/2018,3420.00
03/05/2018,5333,840979,,03/09/2018,38110.00
03/05/2018,5333,877503,,03/09/2018,5849.00
03/05/2018,5334,415,,03/09/2018,1221.00
03/05/2018,5334,7982,,03/09/2018,6100.00
